team,title_prob,top4_prob,releg_prob,pts_p5,pts_median,pts_p95,real_points,real_rank,inside_range,cutoff_gameweek
Arsenal,0.8566,0.9997,0.0,76.0,85.0,93.0,85,1,True,20
Manchester City,0.129,0.9848,0.0,67.0,76.0,85.0,78,2,True,20
Liverpool,0.0089,0.7767,0.0,59.0,68.0,77.0,60,5,True,20
Aston Villa,0.0052,0.7353,0.0,58.0,67.0,76.0,65,4,True,20
Manchester United,0.0002,0.1678,0.0,50.0,59.0,69.0,71,3,False,20
Newcastle United,0.0001,0.093,0.0002,48.0,57.0,66.0,49,12,True,20
Brentford,0.0,0.0666,0.0001,47.0,56.0,65.0,53,8,True,20
Bournemouth,0.0,0.001,0.0156,39.0,47.0,56.0,57,6,False,20
Crystal Palace,0.0,0.0019,0.0114,40.0,48.0,57.0,45,15,True,20
Brighton,0.0,0.0065,0.0032,41.0,50.0,59.0,53,8,True,20
Chelsea,0.0,0.1223,0.0002,49.0,58.0,67.0,52,10,True,20
Burnley,0.0,0.0,0.9109,22.0,30.0,39.0,22,19,True,20
Leeds,0.0,0.0012,0.0173,39.0,47.0,56.0,47,14,True,20
Fulham,0.0,0.0098,0.0017,43.0,51.0,60.0,52,10,True,20
Everton,0.0,0.0004,0.022,38.0,46.0,54.0,49,12,True,20
Nottingham Forest,0.0,0.0,0.1763,32.0,40.0,49.0,44,16,True,20
Sunderland,0.0,0.0122,0.0022,43.0,51.0,60.0,54,7,True,20
Tottenham,0.0,0.0208,0.0009,44.0,52.0,62.0,41,17,False,20
West Ham,0.0,0.0,0.8778,23.0,31.0,40.0,39,18,True,20
Wolverhampton Wanderers,0.0,0.0,0.9602,18.0,27.0,36.0,20,20,True,20
